Runs,L,G,alpha,w_MEA,y_CO2,CO2 CAP%,Results
1,1.650605944,0.582228077,0.075152738,0.278847677,0.085648569,94.51,"Solved? Yes, with 07 obj function evaluations"
3,2.546779024,0.701641031,0.095135482,0.289018684,0.086312252,85.46,"Solved? Yes, with 05 obj function evaluations"
5,2.428523609,0.607550417,0.093157503,0.286587117,0.107874057,89.65,"Solved? Yes, with 06 obj function evaluations"
6,2.198972972,0.420064042,0.199020087,0.277673625,0.098616147,95.91,"Solved? Yes, with 07 obj function evaluations"
7,2.488296066,0.481787447,0.137604526,0.290237445,0.111355248,94.25,"Solved? Yes, with 08 obj function evaluations"
8,2.762301883,0.539649207,0.209144205,0.297944181,0.107531374,91.8,"Solved? Yes, with 07 obj function evaluations"
9,2.664303128,0.437920523,0.123440278,0.307520225,0.11039273,96.15,"Solved? Yes, with 10 obj function evaluations"
11,2.26043077,0.735698406,0.183904142,0.297654118,0.097591207,88.05,"Solved? Yes, with 08 obj function evaluations"
12,2.692761217,0.523026023,0.221985532,0.315673937,0.095391383,94.87,"Solved? Yes, with 07 obj function evaluations"
13,1.549807143,0.569529254,0.175178646,0.30111039,0.096441024,97.13,"Solved? Yes, with 16 obj function evaluations"
14,1.192840925,0.750980366,0.129770794,0.282286298,0.109525521,80.12,"Solved? Yes, with 05 obj function evaluations"
16,1.327855256,0.591705325,0.177445351,0.296767693,0.110987412,95.02,"Solved? Yes, with 09 obj function evaluations"
17,1.466263749,0.450642099,0.142724275,0.314377111,0.099420869,99.35,"Solved? Yes, with 18 obj function evaluations"
18,2.004168248,0.500055169,0.076058141,0.31319393,0.093748823,96.93,"Solved? Yes, with 10 obj function evaluations"
19,2.398764142,0.606079165,0.197440108,0.292754356,0.090481941,90.74,"Solved? Yes, with 07 obj function evaluations"
20,2.767695587,0.664719791,0.101361007,0.305034807,0.092869906,87.78,"Solved? Yes, with 05 obj function evaluations"
21,2.315208089,0.726528943,0.179851642,0.29931871,0.096952085,88.38,"Solved? Yes, with 07 obj function evaluations"
22,1.364188962,0.396109695,0.257500742,0.295973168,0.110174915,99.05,"Solved? Yes, with 18 obj function evaluations"
25,1.309593504,0.765720872,0.16785055,0.294098493,0.098329887,85.88,"Solved? Yes, with 06 obj function evaluations"
26,1.67768234,0.447036874,0.157668317,0.295829042,0.087911952,98.39,"Solved? Yes, with 13 obj function evaluations"
27,0.992181583,0.520337078,0.165136587,0.31086758,0.110610554,98.01,"Solved? Yes, with 06 obj function evaluations"
28,2.228147155,0.493475248,0.157089004,0.304221051,0.104111139,96.3,"Solved? Yes, with 09 obj function evaluations"
29,2.201530707,0.410749819,0.214093097,0.282963972,0.100813769,96.5,"Solved? Yes, with 09 obj function evaluations"
30,2.265220715,0.499005574,0.074401629,0.293006674,0.094597572,94.43,"Solved? Yes, with 06 obj function evaluations"
32,2.461415456,0.68405952,0.258120988,0.307338851,0.09268246,88.79,"Solved? Yes, with 08 obj function evaluations"
33,2.533748783,0.494458355,0.256189826,0.302970842,0.095756494,94.4,"Solved? Yes, with 07 obj function evaluations"
35,2.359695085,0.585986692,0.243952779,0.303288183,0.105785697,92.3,"Solved? Yes, with 09 obj function evaluations"
36,2.109967238,0.76342925,0.114985298,0.310544843,0.102826831,90.49,"Solved? Yes, with 08 obj function evaluations"
37,2.185177286,0.460918982,0.263716236,0.285583771,0.097289951,94.4,"Solved? Yes, with 08 obj function evaluations"
39,1.293043263,0.711128387,0.147010417,0.286013037,0.101009841,89.27,"Solved? Yes, with 07 obj function evaluations"
42,1.235116679,0.470362213,0.260556809,0.306703691,0.097999942,98.31,"Solved? Yes, with 08 obj function evaluations"
43,1.915578313,0.705352409,0.173360034,0.289470283,0.100881541,89.8,"Solved? Yes, with 10 obj function evaluations"
44,2.167349162,0.395672674,0.080136633,0.306186517,0.108416419,98.08,"Solved? Yes, with 19 obj function evaluations"
46,1.112653366,0.554736164,0.218657718,0.291272411,0.108284836,86.76,"Solved? Yes, with 05 obj function evaluations"
47,1.178245813,0.751626382,0.100763637,0.290478527,0.096365601,91.12,"Solved? Yes, with 08 obj function evaluations"
48,1.593693777,0.682059606,0.260080874,0.297320647,0.109788282,80.3,"Solved? Yes, with 05 obj function evaluations"
49,1.157774754,0.594325289,0.085670748,0.290406355,0.086021779,97.85,"Solved? Yes, with 20 obj function evaluations"
50,1.571924648,0.475603039,0.234971198,0.298711035,0.084377173,98.19,"Solved? Yes, with 14 obj function evaluations"
51,2.646006037,0.777497139,0.211853292,0.308908825,0.103718047,85.81,"Solved? Yes, with 07 obj function evaluations"
52,1.396197107,0.737174978,0.196576957,0.290592099,0.090041608,88.51,"Solved? Yes, with 07 obj function evaluations"
53,1.799534584,0.47662479,0.198115393,0.29890909,0.09188135,97.71,"Solved? Yes, with 12 obj function evaluations"
54,2.255089566,0.530769098,0.108037937,0.309507854,0.105363031,95.46,"Solved? Yes, with 11 obj function evaluations"
55,1.032608378,0.600061951,0.16357538,0.291098867,0.092373189,94.45,"Solved? Yes, with 06 obj function evaluations"
56,2.415943551,0.673964738,0.077645491,0.312314131,0.085441211,90.19,"Solved? Yes, with 05 obj function evaluations"
57,2.451353738,0.609589354,0.201788759,0.299237749,0.106414393,91.23,"Solved? Yes, with 08 obj function evaluations"
58,1.807430352,0.638279494,0.118820432,0.277494455,0.100530827,91.69,"Solved? Yes, with 09 obj function evaluations"
60,1.296671739,0.724772266,0.16124598,0.294126802,0.112567971,83.66,"Solved? Yes, with 05 obj function evaluations"
61,1.28396529,0.667453744,0.2332329,0.291030611,0.096683604,82.86,"Solved? Yes, with 05 obj function evaluations"
62,2.514169043,0.790844687,0.086802446,0.278633705,0.101971536,80.74,"Solved? Yes, with 05 obj function evaluations"
64,2.433481837,0.792669609,0.181834429,0.315030543,0.091698245,88.42,"Solved? Yes, with 07 obj function evaluations"
65,2.193935573,0.71070345,0.242242525,0.314207654,0.095985263,91.06,"Solved? Yes, with 09 obj function evaluations"
66,2.634704508,0.767736355,0.251877747,0.30851323,0.084569826,85.48,"Solved? Yes, with 07 obj function evaluations"
67,2.335649215,0.576429573,0.187979207,0.282428801,0.084933895,90.65,"Solved? Yes, with 06 obj function evaluations"
68,1.785285759,0.440581078,0.123122507,0.314805299,0.110504873,98.86,"Solved? Yes, with 20 obj function evaluations"
69,1.272974062,0.655251579,0.186423484,0.283701076,0.09779484,88.7,"Solved? Yes, with 06 obj function evaluations"
70,1.352479637,0.621074482,0.199514876,0.283599183,0.097198381,91.58,"Solved? Yes, with 09 obj function evaluations"
71,1.305548165,0.783766323,0.166113372,0.308009941,0.093393514,90.81,"Solved? Yes, with 07 obj function evaluations"
72,1.749540911,0.410171262,0.103352453,0.305337683,0.089648839,98.86,"Solved? Yes, with 13 obj function evaluations"
74,2.121384953,0.692683362,0.068847587,0.304852832,0.105673217,91.06,"Solved? Yes, with 07 obj function evaluations"
75,1.101431407,0.786972303,0.070508541,0.293826207,0.103549636,87.54,"Solved? Yes, with 06 obj function evaluations"
76,1.114323409,0.658487782,0.156232475,0.3017326,0.113144583,86.48,"Solved? Yes, with 05 obj function evaluations"
78,1.949780737,0.62231005,0.083055633,0.293150353,0.092534416,92.96,"Solved? Yes, with 07 obj function evaluations"
79,2.453154609,0.604506897,0.23123562,0.279979657,0.09753095,87.15,"Solved? Yes, with 07 obj function evaluations"
80,2.168975873,0.73767742,0.194769973,0.294744025,0.107991727,87.32,"Solved? Yes, with 09 obj function evaluations"
81,0.98019907,0.62570586,0.230355018,0.302496784,0.093852777,80.89,"Solved? Yes, with 04 obj function evaluations"
82,2.683610195,0.673205328,0.204431814,0.315358379,0.088370102,90.55,"Solved? Yes, with 06 obj function evaluations"
84,2.026673077,0.463565242,0.180621384,0.315617698,0.098674029,98.21,"Solved? Yes, with 12 obj function evaluations"
85,1.788212375,0.59400999,0.22314882,0.287152323,0.108760863,91.73,"Solved? Yes, with 10 obj function evaluations"
86,2.437263845,0.511112819,0.161439668,0.296848602,0.106900839,94.3,"Solved? Yes, with 08 obj function evaluations"
87,2.304893112,0.739595165,0.211449209,0.309861998,0.099105135,89.4,"Solved? Yes, with 08 obj function evaluations"
88,1.507374281,0.415922448,0.17216117,0.308573081,0.090854346,99.42,"Solved? Yes, with 18 obj function evaluations"
89,2.326649349,0.506135709,0.087385216,0.305630206,0.092751358,95.07,"Solved? Yes, with 06 obj function evaluations"
90,2.119863847,0.780657922,0.090854311,0.283140057,0.08952525,85.35,"Solved? Yes, with 06 obj function evaluations"
91,1.217916018,0.629116179,0.254954677,0.285516738,0.096971562,78.52,"Solved? Yes, with 05 obj function evaluations"
92,1.079250249,0.46862562,0.146824453,0.286143284,0.105723262,99.05,"Solved? Yes, with 18 obj function evaluations"
93,2.364181655,0.480935802,0.0903756,0.280282983,0.08689797,93.42,"Solved? Yes, with 05 obj function evaluations"
94,2.092668249,0.476221921,0.145317764,0.307881541,0.110868865,97.36,"Solved? Yes, with 14 obj function evaluations"
95,1.757746422,0.781537173,0.094281055,0.277850505,0.094505849,87.56,"Solved? Yes, with 09 obj function evaluations"
96,1.312042756,0.756305781,0.232704731,0.287578027,0.090310059,77.75,"Solved? Yes, with 05 obj function evaluations"
97,2.404745545,0.513593764,0.081963714,0.313113257,0.107146374,95.16,"Solved? Yes, with 10 obj function evaluations"
98,2.586721084,0.759410928,0.117415269,0.313548334,0.100102792,87.66,"Solved? Yes, with 07 obj function evaluations"
99,2.134074766,0.704037473,0.179364332,0.30095397,0.084729793,90.71,"Solved? Yes, with 07 obj function evaluations"
100,1.481696813,0.560975889,0.128226085,0.291539599,0.098974252,97.01,"Solved? Yes, with 16 obj function evaluations"
101,2.760265676,0.644594042,0.184288511,0.284691798,0.109423981,85.62,"Solved? Yes, with 06 obj function evaluations"
102,1.907865144,0.670222693,0.072074419,0.311743553,0.102506289,93.81,"Solved? Yes, with 09 obj function evaluations"
103,2.736864183,0.592445351,0.073399415,0.303772394,0.111372262,90.08,"Solved? Yes, with 07 obj function evaluations"
104,2.174616091,0.772937193,0.245274819,0.29563714,0.105329591,82.62,"Solved? Yes, with 08 obj function evaluations"
105,2.074568294,0.488447274,0.084597969,0.297794211,0.093501075,96.06,"Solved? Yes, with 10 obj function evaluations"
106,2.11431703,0.51826418,0.169105658,0.302361023,0.088631428,96.01,"Solved? Yes, with 07 obj function evaluations"
107,2.418029476,0.592639746,0.086496946,0.27732345,0.113808597,89,"Solved? Yes, with 06 obj function evaluations"
108,1.899166047,0.479665414,0.221245197,0.277897744,0.086070185,95.22,"Solved? Yes, with 08 obj function evaluations"
109,1.366438932,0.619446616,0.228482605,0.308836621,0.11200435,89.84,"Solved? Yes, with 06 obj function evaluations"
110,1.04392854,0.462960106,0.177940589,0.295925719,0.104971336,99.2,"Solved? Yes, with 19 obj function evaluations"
111,1.27625056,0.754060124,0.175495661,0.301425464,0.105943704,83.38,"Solved? Yes, with 05 obj function evaluations"
112,1.701886426,0.740908485,0.143770343,0.277610698,0.085176849,88.97,"Solved? Yes, with 09 obj function evaluations"
113,2.632252149,0.707187054,0.224158942,0.311097128,0.101563611,88.64,"Solved? Yes, with 07 obj function evaluations"
115,1.604795703,0.486595942,0.151076271,0.294941661,0.089261398,98.01,"Solved? Yes, with 14 obj function evaluations"
116,1.63312049,0.528567586,0.087497649,0.287780566,0.097206994,96.63,"Solved? Yes, with 10 obj function evaluations"
118,2.374164143,0.464311125,0.085226025,0.288824493,0.094968075,94.68,"Solved? Yes, with 05 obj function evaluations"
119,0.99965795,0.731669376,0.195799816,0.288625355,0.08781449,76.74,"Solved? Yes, with 04 obj function evaluations"
120,1.251914461,0.525244416,0.134774116,0.300736612,0.087164589,98.82,"Solved? Yes, with 21 obj function evaluations"
121,1.208026191,0.722361499,0.143212661,0.30022719,0.096786786,92.1,"Solved? Yes, with 08 obj function evaluations"
122,1.742417346,0.435821291,0.231792396,0.290047251,0.095009133,97.82,"Solved? Yes, with 12 obj function evaluations"
123,1.720557289,0.493025425,0.263868744,0.282484061,0.108108656,93.42,"Solved? Yes, with 10 obj function evaluations"
124,2.067578641,0.586629862,0.119157163,0.283408299,0.107396495,92.41,"Solved? Yes, with 08 obj function evaluations"
125,1.955601845,0.406974479,0.153192081,0.279269879,0.107781179,97.43,"Solved? Yes, with 12 obj function evaluations"
126,2.537963955,0.398821956,0.258925239,0.290737041,0.10546277,95.85,"Solved? Yes, with 09 obj function evaluations"
127,2.315737809,0.68026112,0.16203396,0.310421966,0.113692605,91.69,"Solved? Yes, with 08 obj function evaluations"
128,2.708228477,0.734771144,0.266462964,0.311447196,0.106992898,85.38,"Solved? Yes, with 08 obj function evaluations"
130,2.311212153,0.408229734,0.210230933,0.297122286,0.113754568,97.35,"Solved? Yes, with 14 obj function evaluations"
132,2.325161406,0.70552414,0.184641799,0.307796133,0.105623388,90.39,"Solved? Yes, with 08 obj function evaluations"
133,2.591535966,0.58331042,0.257013146,0.301275983,0.113025844,90.32,"Solved? Yes, with 08 obj function evaluations"
134,2.446045572,0.727804891,0.20239631,0.284444849,0.094175622,83.93,"Solved? Yes, with 07 obj function evaluations"
135,2.000921462,0.611553449,0.203825224,0.29098616,0.103862554,92.17,"Solved? Yes, with 10 obj function evaluations"
136,2.637195661,0.709048804,0.229172842,0.305805569,0.104824479,87.26,"Solved? Yes, with 08 obj function evaluations"
137,1.254540741,0.567669425,0.08989295,0.302525707,0.087675082,98.36,"Solved? Yes, with 13 obj function evaluations"
139,2.57843288,0.559702461,0.182323028,0.279767963,0.112115671,89.36,"Solved? Yes, with 07 obj function evaluations"
140,2.230700225,0.411743188,0.23687913,0.295779345,0.089842081,97.25,"Solved? Yes, with 09 obj function evaluations"
142,2.611765085,0.405854764,0.225915857,0.293387989,0.111894591,96.09,"Solved? Yes, with 09 obj function evaluations"
143,2.372216672,0.468472528,0.192426947,0.281582503,0.101146147,94.09,"Solved? Yes, with 07 obj function evaluations"
144,2.034768801,0.664287645,0.14435018,0.28744029,0.112624905,90.45,"Solved? Yes, with 10 obj function evaluations"
145,2.044684749,0.556227579,0.129887885,0.277101105,0.103210523,92.73,"Solved? Yes, with 07 obj function evaluations"
147,1.903263881,0.508861737,0.072301504,0.295509631,0.086414257,96.06,"Solved? Yes, with 08 obj function evaluations"
148,2.054062011,0.448355533,0.076276433,0.300492875,0.11045684,97.2,"Solved? Yes, with 14 obj function evaluations"
149,1.940461793,0.466191378,0.242985362,0.290880559,0.10418253,96.26,"Solved? Yes, with 10 obj function evaluations"
150,2.064018377,0.772336989,0.176417971,0.293216889,0.110327118,86.52,"Solved? Yes, with 17 obj function evaluations"
151,1.502459779,0.750053727,0.176734696,0.281178959,0.104300139,83.77,"Solved? Yes, with 06 obj function evaluations"
152,1.596080864,0.430676763,0.124549572,0.282241787,0.085081125,98.25,"Solved? Yes, with 09 obj function evaluations"
153,2.28896201,0.615207551,0.091409501,0.315145493,0.090606163,93.3,"Solved? Yes, with 06 obj function evaluations"
154,1.142166109,0.683690823,0.209621229,0.280279749,0.086472385,82.79,"Solved? Yes, with 05 obj function evaluations"
155,1.831389066,0.607847955,0.230888433,0.287170869,0.097354158,91.58,"Solved? Yes, with 10 obj function evaluations"
156,1.755325741,0.627422201,0.099413413,0.280374336,0.102061448,92.84,"Solved? Yes, with 17 obj function evaluations"
157,1.837694702,0.563117671,0.12031307,0.31167565,0.110681039,96.85,"Solved? Yes, with 13 obj function evaluations"
158,2.752728836,0.502169321,0.251443362,0.31162137,0.084479407,94.52,"Solved? Yes, with 06 obj function evaluations"
160,2.297846853,0.587522874,0.247629949,0.29695954,0.08934362,91.7,"Solved? Yes, with 08 obj function evaluations"
161,2.520378427,0.512900492,0.266870968,0.283253702,0.10134025,90.02,"Solved? Yes, with 07 obj function evaluations"
162,2.528411143,0.725908593,0.220315907,0.284424462,0.091368641,82.94,"Solved? Yes, with 07 obj function evaluations"
163,1.122059928,0.719431862,0.211365917,0.29761592,0.10060105,76.48,"Solved? Yes, with 04 obj function evaluations"
164,2.551690968,0.438808043,0.205503754,0.308622298,0.089973611,96.78,"Solved? Yes, with 08 obj function evaluations"
166,1.340096091,0.443701936,0.097491918,0.286925647,0.085428146,98.92,"Solved? Yes, with 14 obj function evaluations"
168,2.703864934,0.590412218,0.112181328,0.285335721,0.089061818,88.16,"Solved? Yes, with 05 obj function evaluations"
170,2.102508453,0.522353788,0.11388289,0.281957674,0.109318707,94.02,"Solved? Yes, with 09 obj function evaluations"
171,2.748516896,0.792429294,0.251164138,0.294611295,0.104741606,79.27,"Solved? Yes, with 07 obj function evaluations"
172,2.423378465,0.484747793,0.077940124,0.280722613,0.0951903,92.98,"Solved? Yes, with 05 obj function evaluations"
173,2.619969657,0.654763572,0.113279115,0.302351964,0.112796467,89.21,"Solved? Yes, with 06 obj function evaluations"
174,2.407616945,0.413178059,0.106264367,0.303140466,0.089102779,97,"Solved? Yes, with 10 obj function evaluations"
175,2.58263394,0.457971269,0.166656638,0.279394409,0.099717085,93.33,"Solved? Yes, with 06 obj function evaluations"
176,2.539029808,0.601713504,0.249603582,0.289540408,0.102725918,87.97,"Solved? Yes, with 08 obj function evaluations"
178,1.606431689,0.424150766,0.215396476,0.292547737,0.086343529,98.64,"Solved? Yes, with 17 obj function evaluations"
179,2.225523537,0.498127926,0.18279553,0.294551487,0.108887363,95.35,"Solved? Yes, with 09 obj function evaluations"
181,1.181931344,0.681206222,0.248182483,0.31552191,0.092108962,85.52,"Solved? Yes, with 05 obj function evaluations"
182,1.478550054,0.779066189,0.230198733,0.305944495,0.111157465,77.12,"Solved? Yes, with 05 obj function evaluations"
183,2.213746971,0.504037954,0.203561876,0.306669874,0.087555784,96.31,"Solved? Yes, with 07 obj function evaluations"
184,2.740595777,0.762603406,0.232163221,0.293980189,0.102604683,81.58,"Solved? Yes, with 07 obj function evaluations"
185,2.221928303,0.721192489,0.234590096,0.306003542,0.088448185,89.44,"Solved? Yes, with 08 obj function evaluations"
186,1.074781393,0.779877017,0.115356288,0.279621976,0.09826029,79.57,"Solved? Yes, with 05 obj function evaluations"
188,1.611557003,0.433946687,0.147618769,0.313814037,0.101680735,99.24,"Solved? Yes, with 21 obj function evaluations"
189,1.955453824,0.485405196,0.264315702,0.286207858,0.089590549,94.73,"Solved? Yes, with 09 obj function evaluations"
190,2.140270123,0.613236886,0.102436421,0.301826817,0.095784839,93.12,"Solved? Yes, with 06 obj function evaluations"
191,1.147629771,0.739822682,0.088694949,0.290318549,0.10233358,90.5,"Solved? Yes, with 07 obj function evaluations"
192,2.7770238,0.697282424,0.18500569,0.292983322,0.108471768,85.06,"Solved? Yes, with 07 obj function evaluations"
194,1.67971972,0.483534668,0.246894166,0.31452309,0.085857107,98.58,"Solved? Yes, with 20 obj function evaluations"
195,1.439528604,0.589167066,0.218185947,0.313002536,0.091971965,97.6,"Solved? Yes, with 24 obj function evaluations"
196,1.699649496,0.74293219,0.143965024,0.281690218,0.111233863,87.73,"Solved? Yes, with 10 obj function evaluations"
197,2.444044609,0.642191912,0.159942549,0.289773118,0.10271757,88.95,"Solved? Yes, with 07 obj function evaluations"
198,1.567924339,0.471348188,0.185586917,0.28007667,0.095236159,97.37,"Solved? Yes, with 13 obj function evaluations"
199,2.216117817,0.566219311,0.122135017,0.307577041,0.097726432,94.7,"Solved? Yes, with 08 obj function evaluations"
200,1.817127189,0.507442575,0.183381764,0.296135318,0.088867661,96.94,"Solved? Yes, with 08 obj function evaluations"
201,1.671533715,0.515844131,0.134026855,0.316817046,0.098910931,98.39,"Solved? Yes, with 23 obj function evaluations"
202,2.188295132,0.773747926,0.149520174,0.294210263,0.088543365,87.05,"Solved? Yes, with 07 obj function evaluations"
203,1.484715448,0.490506145,0.219835672,0.299937488,0.113507379,97.86,"Solved? Yes, with 12 obj function evaluations"
204,1.346542669,0.761518543,0.132686142,0.280941825,0.094475173,88.82,"Solved? Yes, with 09 obj function evaluations"
205,2.723465292,0.537038886,0.135356925,0.29262151,0.085240673,91.23,"Solved? Yes, with 05 obj function evaluations"
206,1.992531748,0.678087906,0.240251648,0.31630187,0.092276854,93.48,"Solved? Yes, with 07 obj function evaluations"
207,2.40949252,0.700009238,0.133729113,0.291464851,0.103292948,87.47,"Solved? Yes, with 07 obj function evaluations"
208,2.511208741,0.649963344,0.155911736,0.283917425,0.111689818,87.18,"Solved? Yes, with 07 obj function evaluations"
209,1.617519536,0.419317258,0.224210664,0.300153437,0.113992321,98.87,"Solved? Yes, with 17 obj function evaluations"
211,1.286408221,0.759910804,0.102137166,0.304596651,0.111467252,91.28,"Solved? Yes, with 08 obj function evaluations"
213,2.65106539,0.512044132,0.132371927,0.315785962,0.09590091,94.92,"Solved? Yes, with 07 obj function evaluations"
214,2.567861315,0.584243305,0.124876256,0.297421743,0.106947505,91.27,"Solved? Yes, with 06 obj function evaluations"
215,2.504110778,0.63961729,0.18607057,0.30685648,0.095604939,91.32,"Solved? Yes, with 07 obj function evaluations"
216,1.499292033,0.598261181,0.140211897,0.309096749,0.098370829,97.47,"Solved? Yes, with 13 obj function evaluations"
218,2.459512893,0.655902982,0.200750121,0.296621761,0.090099726,89.24,"Solved? Yes, with 07 obj function evaluations"
219,2.113262245,0.552376049,0.23701904,0.285934921,0.102589033,92.05,"Solved? Yes, with 09 obj function evaluations"
220,2.163230815,0.449203376,0.096717631,0.288690784,0.101490013,96.17,"Solved? Yes, with 10 obj function evaluations"
222,1.911909198,0.503138177,0.173524543,0.284825354,0.085291543,95.71,"Solved? Yes, with 07 obj function evaluations"
223,1.763645994,0.546324869,0.22730844,0.279211513,0.108994299,92.42,"Solved? Yes, with 11 obj function evaluations"
224,2.395132865,0.517331389,0.218237281,0.315198299,0.098462286,96.08,"Solved? Yes, with 08 obj function evaluations"
225,2.390573334,0.564319151,0.116581255,0.306404099,0.103067811,93.74,"Solved? Yes, with 08 obj function evaluations"
226,2.291826047,0.595044647,0.076733207,0.288510444,0.086763238,90.76,"Solved? Yes, with 05 obj function evaluations"
227,2.744603102,0.633029307,0.212741388,0.313466244,0.09792509,91.14,"Solved? Yes, with 07 obj function evaluations"
229,1.919255012,0.421931788,0.154027828,0.300031302,0.090263396,98.3,"Solved? Yes, with 09 obj function evaluations"
230,2.086876834,0.641277868,0.127345342,0.297972453,0.099788661,92.47,"Solved? Yes, with 07 obj function evaluations"
231,2.65599598,0.509842223,0.248357512,0.28819075,0.098865011,91.18,"Solved? Yes, with 07 obj function evaluations"
233,1.862405164,0.544757396,0.084796229,0.286691615,0.103015181,95.02,"Solved? Yes, with 09 obj function evaluations"
234,1.825153801,0.606540284,0.245487699,0.279425734,0.104417333,87.96,"Solved? Yes, with 06 obj function evaluations"
235,2.157914448,0.418642406,0.176171287,0.31016773,0.103154665,98.29,"Solved? Yes, with 16 obj function evaluations"
236,2.617561487,0.702711179,0.215577684,0.312640737,0.11205049,89.19,"Solved? Yes, with 08 obj function evaluations"
237,1.495963435,0.452680213,0.14911219,0.279006339,0.100637726,98.06,"Solved? Yes, with 10 obj function evaluations"
238,1.374607899,0.668608984,0.233764169,0.287545903,0.094023038,85.26,"Solved? Yes, with 06 obj function evaluations"
240,2.080189703,0.642699412,0.188914104,0.291939281,0.092932975,91.37,"Solved? Yes, with 08 obj function evaluations"
241,2.527142061,0.589615575,0.263292439,0.283181665,0.088393394,86.93,"Solved? Yes, with 07 obj function evaluations"
243,2.694113533,0.532865215,0.167725521,0.284641949,0.101079636,90.65,"Solved? Yes, with 06 obj function evaluations"
244,1.775195139,0.623236927,0.087815278,0.303376962,0.086826772,94.99,"Solved? Yes, with 07 obj function evaluations"
245,1.048689302,0.735866159,0.12529124,0.310793969,0.090947563,93.59,"Solved? Yes, with 06 obj function evaluations"
247,2.090134445,0.748005634,0.190110565,0.304140099,0.096751949,89.83,"Solved? Yes, with 09 obj function evaluations"
248,1.446913399,0.767909671,0.192853813,0.298528039,0.087456571,90.05,"Solved? Yes, with 09 obj function evaluations"
249,1.461206611,0.748688563,0.23803614,0.30396931,0.1084911,78.29,"Solved? Yes, with 05 obj function evaluations"
